Index,Chinese gloss,English gloss,Standard Zhuang,Donglan Datong,Dahua Yantan,Dahua Liushui,Modern Thai,Modern Thai Phonetics,Swadesh List,动物,植物,人称代词,亲属,动词,形容词,数字,量词,疑问代词,身体部位
442,张开（嘴）,to open (mouth),,,ʔa⁴⁵³ haːi⁴²,ʔa³⁴¹ hɜi⁵³,อ้าปาก,apak,,,,,,True,,,,,
443,开,to open,,,haːi⁴²,haːi⁴²,เปิด,poet,,,,,,True,,,,,
444,关,to close,,,kwɛːn⁴²,kwɛːn⁴²,ปิด,pit,,,,,,True,,,,,
445,跑,to run,,,"tiːu⁴⁴, puət⁴⁴",puət⁵⁵,วิ่ง,wing,,,,,,True,,,,,
446,骑,to ride,,,kwei³¹,kɯei²⁴,ขี่,khi,,,,,,True,,,,,
447,爬,to crawl,,,ɹuən²³¹,ɹuən²³¹,คลาน,khlan,,,,,,True,,,,,
448,攀,to climb (a tree),,,pɪn⁴²,pɪn⁴²,ปีน,pin,,,,,,True,,,,,
449,跳,to jump,,,tiːu⁴⁴,tiːu⁴⁴,กระโดด,kradot,,,,,,True,,,,,
450,踢,to kick,,,tiək⁴⁴,tiek⁵⁵,เตะ,te,,,,,,True,,,,,
451,跳舞,to dance,,,tɛːu²⁴ ʔu⁴⁵³,tɛːu²⁴ ʔu⁴²,เต้นรำ,tenram,,,,,,True,,,,,
452,抱,to embrace,,,kɔət⁴⁴,kɔət⁵⁵,กอด,kot,,,,,,True,,,,,
453,弯（腰）,to bend (down),,,kɔm²⁴,ŋɔːm⁵⁵³,ก้ม,kom,,,,,,True,,,,,
454,跪,to kneel,,,kwei³¹,kwi²⁴,คุกเข่า,khukkhao,,,,,,True,,,,,
455,挑,to carry (on a pole),,,ɹaːp⁴⁴,ɹaːp⁵⁵,หาบ,ap,,,,,,True,,,,,
456,抬,to lift,,,ɹɔːm⁴²,ɹaːm⁴²,ยก,yok,,,,,,True,,,,,
457,去,to go,,,pɜi⁴²,pɜi⁴²,ไป,pai,,,,,,True,,,,,
458,进,to enter,,,hɐu⁴⁵³,hɐu⁵⁵³,เข้า,khao,,,,,,True,,,,,
459,出,to go out,,,ʔɔɜk⁴⁴,ʔɔɜk⁵⁵,ออก,ok,,,,,,True,,,,,
460,回,to return,,,taːu⁴⁴,taːu⁴⁴,กลับ,klap,,,,,,True,,,,,
461,做工,to do work,,,hɔəŋ⁴² ku²⁴,hɔɜŋ⁴² ku²³,ทำงาน,thamngan,,,,,,True,,,,,
462,做,to do,,,ku³¹,ku²⁴,ทำ,tham,,,,,,True,,,,,
463,买,to buy,,,ɕəɯ²⁴,ɕɯ³⁴⁴,ซื้อ,sue,,,,,,True,,,,,
464,卖,to sell,,,kaːi⁴²,kaːi⁴²,ขาย,khai,,,,,,True,,,,,
465,偷,to steal,,,ɕɐk³⁴,ɕak²³,ขโมย,khamoi,,,,,,True,,,,,
466,交（税）,to pay (taxes),,,cjiːu³¹,cjiu⁴²,เสียภาษี,siaphasi,,,,,,True,,,,,
467,捆,to tie up,,,ɕʊk³⁴,ɕʊk²³,มัด,mat,,,,,,True,,,,,
468,拴,to tether,,,"laːm³¹, taːu²³¹",laːm²⁴,ล่าม,lam,,,,,,True,,,,,
469,解,to untie,,,kɛ⁴⁵³,kɛ⁵⁵³,แก้,kae,,,,,,True,,,,,
470,炒,to fry,,,ɕaːu³¹,ɕaːu⁵⁵³,ผัด,phat,,,,,,True,,,,,
471,蒸,to steam,,,nɐŋ⁴⁵³,naŋ⁵⁵³,นึ่ง,nueng,,,,,,True,,,,,
472,煮,to boil,,,ɕəɯ⁴⁵³,ɕɯ⁵⁵³,ต้ม,tom,,,,,,True,,,,,
473,熬（酒）,to boil (wine),,,ŋaːu²³¹,ŋaːu²³¹,ต้มเหล้า,tomela,,,,,,True,,,,,
474,舂（米）,to pound (rice),,,tɐm⁴²,tɐm⁴²,ตำข้าว,tamkhao,,,,,,True,,,,,
475,磨（米）,to mill (rice),,,mu³¹,mu²⁴,สีข้าว,sikhao,,,,,,True,,,,,
476,织（布）,to weave,,,tɐm⁴⁵³,tɐm⁵⁵³,ทอ,tho,,,,,,True,,,,,
477,缝,to sew,,,ȵɪp³⁴,ȵɪp²³,เย็บ,yep,True,,,,,True,,,,,
478,染,to dye,,,ȵʊm²⁴,ȵʊm³⁴⁴,ย้อม,yom,,,,,,True,,,,,
479,穿,to wear,,,tɐn⁴⁵³,tɐn⁵⁵³,ใส่,sai,,,,,,True,,,,,
480,脱,to take off,,,tuət⁴⁴,tuət⁵⁵,ถอด,thot,,,,,,True,,,,,
481,放下,to put down,,,ɕoəŋ⁴⁴,ɕuɔŋ⁴⁴,วางลง,wangalong,,,,,,True,,,,,
