Index,Chinese gloss,English gloss,Standard Zhuang,Donglan Datong,Dahua Yantan,Dahua Liushui,Modern Thai,Modern Thai Phonetics,Swadesh List,动物,植物,人称代词,亲属,动词,形容词,数字,量词,疑问代词,身体部位
319,舀,to ladle,,,θiək²¹,tak⁵⁵,ตัก,tak,,,,,,True,,,,,
320,臼,mortar,,,ɹʊm⁴²,ɹʊm⁴²,ครก,khrok,,,,,,,,,,,
321,杵,pestle,,,toːi⁴⁴,jɯ⁴² θaːk⁵⁵,สาก,sak,,,,,,,,,,,
322,刀,knife,,,cja²⁴,ɕa³⁴⁴,มีด,mit,,,,,,,,,,,
323,剃刀,razor,,,tɜi⁴⁴,tɜi⁴⁴,มีดโกน,mitkon,,,,,,,,,,,
324,枪,gun,,,ɕoŋ⁴⁴,ɕoŋ⁴⁴,ปืน,puen,,,,,,,,,,,
325,弓,bow,,,koŋ⁴²,koŋ⁴²,คันธนู,khantnu,,,,,,,,,,,
326,箭,arrow,,,na⁴⁴,na⁴⁴,ลูกธนู,luktnu,,,,,,,,,,,
327,矛,"lance, spear",,,mɐu³¹,lɛːu⁴²,หอก,ok,,,,,,,,,,,
328,梳子,comb,,,ɹoːi⁴²,ɹoːi⁴²,หวี,wi,,,,,,,,,,,
329,针,needle,,,ɕɪm⁴²,ɕɪm⁴²,เข็ม,khem,,,,,,,,,,,
330,房子,house,,,ɹaːn²³¹,ɹaːn²³¹,บ้าน,ban,,,,,,,,,,,
331,屋顶,roof,,,nɪŋ⁴² ɹaːn²³¹,ʔdən⁴² ɹaːn²³¹,หลังคา,langkha,,,,,,,,,,,
332,墙,wall,,,ɕɯəŋ²³¹,ɕɯəŋ²³¹,กำแพง,kamphaeng,,,,,,,,,,,
333,门,"door, gate",,,tou⁴²,tu⁴²,ประตู,pratu,,,,,,,,,,,
334,坑,pit,,,kʊm²³¹,kʊm²³¹,หลุม,lum,,,,,,,,,,,
335,水井,well,,,ɕɪŋ⁴⁵³,ɕɪŋ⁵⁵³,บ่อน้ำ,bonam,,,,,,,,,,,
336,衣服,clothes,,,pu³¹,pu²⁴,เสื้อผ้า,sueapha,,,,,,,,,,,
337,布,cloth,,,pɐŋ²³¹,paŋ²³¹,ผ้า,pha,,,,,,,,,,,
338,帽子,hat,,,maːu³¹,maːu²⁴,หมวก,muak,,,,,,,,,,,
339,裤子,trousers,,,wa⁴⁴,wa⁴⁴,กางเกง,kangkeng,,,,,,,,,,,
340,带子,belt,,,ɕaːk²¹ hɯət⁴⁴,ɕaːk²⁴ hɯət⁵⁵,เข็มขัด,khemkhat,,,,,,,,,,,
341,鞋子,shoes,,,haːi²³¹,haːi²³¹,รองเท้า,rongthao,,,,,,,,,,,
342,袜子,socks,,,maːt²¹,maːt²⁴,ถุงเท้า,thungthao,,,,,,,,,,,
343,戒指,ring,,,kaːi²⁴ ɕi⁴²,cɕɪp⁵⁵ fɯŋ²³¹,แหวน,aeon,,,,,,,,,,,
344,席子,mat,,,ʔbɪn⁴⁵³,ʔbɪn⁵⁵³,เสื่อ,suea,,,,,,,,,,,
345,被子,quilt,,,mɔk³⁴,mɔk²³,ผ้าห่ม,pham,,,,,,,,,,,
346,枕头,pillow,,,θɯːi²³¹,θɯei²³¹,หมอน,mon,,,,,,,,,,,
347,蜡烛,candle,,,laːp²¹,laːp²⁴,เทียน,thian,,,,,,,,,,,
348,纸,paper,,,ɕei³¹,ɕi⁵⁵³,กระดาษ,kradat,,,,,,,,,,,
349,鼓,drum,,,cjɔəŋ⁴²,cjɔŋ⁴²,กลอง,klong,,,,,,,,,,,
350,锣,gong,,,la²³¹,la²³¹,ฆ้อง,khong,,,,,,,,,,,
351,船,boat,,,ɹu²³¹,ɹu²³¹,เรือ,ruea,,,,,,,,,,,
352,轭,yoke,,,ʔɛək⁴⁴,ʔɛːk⁵⁵,แอก,aek,,,,,,,,,,,
353,女孩,young girl,,,lɯk³⁴ θaːu⁴²,lɯk²³ θaːu⁴²,เด็กผู้หญิง,dekphuying,,,,,,,,,,,
354,男孩,young man,,,pu²² ɕɔ²³¹,lɯk²³ ʔbaːu⁴⁴,เด็กผู้ชาย,dekphuchai,,,,,,,,,,,
355,哥哥,elder brother,,,kɔ⁴⁴,tak²³ pi³⁴⁴,พี่ชาย,phichai,,,,,True,,,,,,
356,姐姐,elder sister,,,ɕɛ³¹,ta²⁴ ɕɛ⁵⁵³,พี่สาว,phisao,,,,,True,,,,,,
357,弟兄姐妹,siblings,,,pi²² noəŋ²⁴,pi³² nuɔŋ³⁴⁴,พี่น้อง,phinong,,,,,True,,,,,,
358,弟弟,younger brother,,,noəŋ²⁴,tak²³ nuɔŋ³⁴⁴,น้องชาย,nongchai,,,,,True,,,,,,
359,妹妹,younger sister,,,mɜi²⁴,ta²⁴ nuɔŋ³⁴⁴,น้องสาว,nongsao,,,,,True,,,,,,
360,弟妹,younger sibling,,,noəŋ²⁴,nuɔŋ²⁴,น้อง,nong,,,,,True,,,,,,
361,姨母（妈的姐）,aunt,,,me²¹ pa⁴⁵³,mɛ²³ pa⁴²,ป้า,pa,,,,,True,,,,,,
362,姨妈（妈的妹）,aunt’s younger sis,,,mɛ²³ na³⁴⁴,me³² na²¹⁴,น้า,na,,,,,True,,,,,,
363,女婿,nephew,,,lɯk³⁴ kɯːi²³¹,lɯk²³ kɯei²³¹,ลูกเขย,lukkhoei,,,,,True,,,,,,
364,朋友,friend,,,pɐŋ²³ jou⁴²,paŋ²² jou²⁴,เพื่อน,phuean,,,,,,,,,,,
365,寡妇,widow,,,me²¹ maːi⁴⁴,me²⁴ maːi⁴⁴,แม่ม่าย,maemai,,,,,,,,,,,
366,主人,master,,,pou²¹ ɕəɯ⁴⁵³,pu³⁴⁴ ɕɯ⁵⁵³,นาย,nai,,,,,,,,,,,
367,客人,guest,,,hɛək⁴⁴,hɛːk⁵⁵,แขก,khaek,,,,,,,,,,,
368,别人,other people,,,"ʔɜi⁴² wʊn²³¹, pou²⁴ ʔən⁴⁴",pu³⁴⁴ ʔɯn⁴⁴,คนอื่น,khanon,,,,,,,,,,,
369,姓,surname,,,θɪŋ⁴⁴,θɪŋ⁴⁴,นามสกุล,namtkun,,,,,,,,,,,
370,他（有孩）,he (with kids),,,pɔ²¹ tɛ⁴²,-,เขา,khao,,,,True,,,,,,,
371,他（没孩）,he (without kids),,,ɹoːi³¹ tɛ⁴²,-,เขา,khao,,,,True,,,,,,,
372,她（有孩）,she (with kids),,,mɛ³¹ tɛ⁴²,-,เธอ,thoe,,,,True,,,,,,,
373,她（没孩）,she (without kids),,,ta³¹ tɛ⁴²,-,เธอ,thoe,,,,True,,,,,,,
